Id,Painting_title,Black_Gesso,Bright_Red,Burnt_Umber,Cadmium_Yellow,Dark_Sienna,Indian_Red,Indian_Yellow,Liquid_Black,Liquid_Clear,Midnight_Black,Phthalo_Blue,Phthalo_Green,Prussian_Blue,Sap_Green,Titanium_White,Van_Dyke_Brown,Yellow_Ochre,Alizarin_Crimson,Total_colors
113,Mountain Path,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
114,Country Charm,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
115,Nature's Paradise,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
116,Mountain by the Sea,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,13
117,Mountain Hideaway,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,12
118,Towering Peaks,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
119,Cabin at Sunset,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
120,Twin Falls,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
121,Secluded Bridge,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
122,Ocean Breeze,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,12
123,Autumn Woods,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
124,Winter Solitude,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,7
125,Golden Sunset,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,12
126,Mountain Oval,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,11
127,Ocean Sunset,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,12
128,Triple View,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
129,Winter Frost,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,9
130,Lakeside Cabin,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
131,Mountain Stream,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
132,Country Cabin,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,7
133,Daisy Delight,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,10
134,Hidden Stream,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
135,Towering Glacier,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,12
136,Oval Barn,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,6
137,Lakeside Path,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
138,Sunset Oval,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
139,Winter Barn,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,6
140,Sunset over the Waves,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,10
141,Golden Glow,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,8
142,Roadside Barn,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,11
143,Happy Accident,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,11
144,Golden Knoll,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,7
145,Mountain Reflections,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
146,Secluded Mountain,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
147,Bright Autumn Trees,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,13
148,Black Seascape,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,9
149,Steep Mountains,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
150,Quiet Mountains River,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
151,Evening Waterfall,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,11
152,Tropical Seascape,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,12
153,Mountain at Sunset,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,13
154,Soft Mountain Glow,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
155,Mountain in an Oval,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,11
156,Winter Mountain,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,7
157,Rolling Hills,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,12
158,Frozen Solitude,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,5
159,Meadow Brook,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,13
